2023-10-16T01:57:39.823Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T02:02:54.339Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T02:04:24.317Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T02:04:24.517Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T02:05:49.383Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T02:29:45.570Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T02:29:45.801Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T14:32:37.003Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T14:32:37.216Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T14:33:32.266Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:35:22.244Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:36:19.519Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:39:55.080Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:46:23.345Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:50:33.521Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:50:43.321Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:54:14.668Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T14:57:24.629Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T15:02:58.376Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T17:38:48.567Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T17:39:55.581Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T17:41:19.023Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T17:43:34.025Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T17:44:27.510Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T17:51:08.089Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T17:52:52.210Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:09:47.974Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T20:09:54.050Z [info]: Method: GET | URL accessed: http://localhost:5500/api/teams/fe12456f-137f-4969-9732-cc08bdf67ba1 | Status: 200, undefined
2023-10-16T20:10:44.239Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:13:34.901Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:17:52.966Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:34:41.164Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:36:25.490Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:48:41.443Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:52:29.620Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:54:10.065Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:56:15.870Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T20:57:28.325Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
2023-10-16T21:03:04.821Z [info]: Method: POST | URL accessed: http://localhost:5500/api/teams | Status: 200, undefined
